English,Polish
Ant,Mrówka
Bear,Niedźwiedź
Bee,Pszczoła
Bird,Ptak
Butterfly,Motyl
Camel,Wielbłąd
Cat,Kot
Cow,Krowa
Dog,Pies
Fish,Ryba
Flamingo,Flaming
Horse,Koń
Lizard,Jaszczurka
Monkey,Małpa
Mouse,Mysz
Penguin,Pingwin
Pig,Świnia
Rabbit,Królik
Snake,Wąż
Spider,Pająk
Stag,Jeleń
